# 2026/06/13 - 13:35 | PDB: 24.26 | UniProt: 2026.02
SP_PRIMARY	PDB
P04512	1g1j;2o1k;1g1i
P04517	1lvb;9r9w;1q31;6suq;1lvm
P04519	1ya6;1y6g;1y6f;1xv5;1y8z
P04520	8gao;8dvf;8dvi;8dw6;8dwj
P04524	7d7c
P04525	3u60;9e5y;1czd;9ea6;9ea3;8unf;9ea2;8unh;8uk9;6drt;3u61;7d7d;3u5z;8uh7
P04526	8uh7;3u5z;3u61;3u60;8unf;8uk9;8unh
P04527	3u60;3u61;8uh7;3u5z;8unf;8uk9;8unh
P04529	3io5
P04530	8gao;8dvi;8g0z;8dtp;8dvf;8due;8duo;8dw6
P04531	1del;1dek
P04535	9mof;5vf3;7vs5;9mkb;6uzc;8t9r;8t1x;7vrt;8gmo
P04536	8ken;8kel
P04537	4zwr;4zws;4zwq;4zwt
P04545	4c3e;4c3d;4c3b;6g0y;6pzq;2l9j;5noh
P04547	1sxp;1nvk;1bgu;1j39;2bgt;1nzd;1jg6;1jej;1bgt;1nzf;1m5r;1jg7;1jiv;1ixy;1sxq;1qkj;2bgu;1c3j;1jiu;1jix
P04552	5ii8;5iib;5utg;5mr3;5ii9;1lyn;5iia;5ii7;2lyn;2lis;1lis
P04570	2sas
P04571	1q80;2scp
P04573	1j7q;1c7v;1c7w;1j7r
P04574	1alw;1nx3;1alv;1nx1;4phn;1nx0;1nx2
P04578	8ipg;1dlb;6o3j;6o3l;5ka5;1gzl;5wdf;5ivx;4ydv;8w32;6p7h;6jqk;5yc0;5z0w;6dln;5x08;5cmu;8tq8;3dnn;7ekk;5nww;5c0r;2me1;6pef;3idx;5yb4;5bn0;8f3b;8g8d;8w37;1mzi;6mqs;6de7;6bxq;3tyg;7ri1;6psa;6uju;9arn;8tq7;7r74;6bxp;1aik;3idy;6mqc;6b9k;5c0s;1df5;1k33;1df4;5ka6;5cn0;7rdw;7ekb;6ujv;6pds;6p8d;5yb2;5tkj;5tkk;8f3a;2cmr;6o3g;1rzj;7n05;6pdr;5cil;3dnl;8g8a;7aej;2pv6;8w2y;7loi;5cin;5hfm;5nvp;6wwc;6snd;6mqm;3dro;3mnw;6pec;8fz2;5nwu;5h0n;4zto;2xra;7ri2;6uce;6o42;6j5e;6npr;2mg3;1gc1;6ryf;6mqr;5zcx;4jpj;6sne;7loh;6ucf;6p60;5hfl;8g8c;3mnz;8tq9;5ghw;6snc;6kts;9arp;7ff1;2mg1;5cmz;5yb3;5hm1;3dno;8fym;1k34;1g9m;6mqe;3j70;3d0v;6n16;5dd0;4jpk;8b6y;7n08;6ncp;2mg2;1fav;3vie;6ubi;6pdu
P04580	3f4y;3mob;3mod;4i2l;3f50;3moa;1tji;3g7a;1tjh
P04582	6tvu;9d72;1ddh;1qo3;1hhg;1szt
P04583	2x4o
P04584	4upj;2k4i;1hii;6upj;1idb;2k4e;2k4h;3ec0;1ivp;3upj;2hpe;1ida;1hsh;2hpf;3f9k;3ecg;1e0e;1hsi;1ivq;3ebz;1jld;2mip;5upj;1mu2
P04585	1rt5;1s1x;1qbt;1lwc;1bvg;6uk0;6skk;6dv0;3dok;3mec;6vqy;6vqz;2rf2;1jlg;1jlq;1ex4;1a30;6uis;5j2m;5j2p;1s1t;1rtd;6vqd;6bsh;6bsi;5vz6;6cql;3med;1hiv;1rt3;1c1c;7doz;7dpq;8fce;6vpz;6vq2;2opr;1tkx;6wb2;6e9a;6ewa;8jyi;6cqn;3mee;8f7m;2hny;1hvr;1dmp;5j2q;4u7v;3ao2;2opp;1rev;1qbr;1odw;1klm;6vqe;5k14;4q1x;6e7j;6cqj;4u1i;3di6;2ynh;2wom;1bv7;1bwb;5xot;3tam;3qio;3kjv;2rki;3meg;7xj4;3lp0;3m8q;2won;1vru;3dox;3c6t;2fde;2hnd;1jle;1fb7;6uit;6pyl;5hrn;4u1j;4q5m;4q1y;3n3i;3qin;1rt4;1rt6;1rtj;1lw0;7sls;7dt9;6ujz;6j1v;6gl1;6p1x;6cqq;8erx;8esx;3drs;5j2n;5eu7;3lp1;3nbp;1o1w;5tc2;5hrp;3drr;3ffi;2whh;2ynf;1s1w;1tkt;1rt2;1qbs;1lv1;1bv9;1c0u;1hwr;1hxb;6dj2;4i7f;3lal;2opq;6waz;6ujx;6ujy;6bj3;7xiu;7xj5;6otz;4ncg;3e01;3lam;1bwa;1odx;6dj1;8jyj;8tck;8f0f;7xj7;1t05;5t82;3lp2;3i0r;3kk2;3dmj;1tkz;8t4e;6skm;6j1w;6bsj;3t1a;6wb0;6smu;6dj7;6cpn;5kao;4q1w;4b3q;6p2g;7xis;7xit;1vrt;1jkh;1fko;1e6j;5dgw;5hrr;3dya;1tl1;6wb1;6skn;6slu;6dv4;5xos;6dil;6cqr;6p1i;4b3o;3dm2;3kk3;1c1b;1bve;1c0t;6wpj;7slr;7dzn;5yrs;6dj5;5im7;2kod;2nph;2hnz;9dm9;6ex9;5hrs;4kv8;4u1h;3i0s;3qip;3kt5;1lwe;1lwf;1esk;6wph;7dzm;7r7x;7r80;1jla;6wpf;4u7q;3c6u;2yni;3kt2;1rt7;1lw2;6bsg;6cpo;8jyh;6bj2;8tcj;8tcm;8esy;1ep4;1s1v;1tam;1rt1;1rti;4b3p;8tcl;8f5a;1hvh;1fk9;1dtq;8fcd;6or7;6dif;3lan;3dle;2ops;1tl3;1qbu;1ody;6slq;6cpl;4kse;1jlb;1jlf;1ncp;1fkp;1exq;5dgu;4qlh;3m8p;3drp;2yng;3kk1;3lak;3t19;3dlg;1s1u;1rth;1g6l;1dtt;8fcc;6uir;3dol;7r7v;1jlc;3phv
P04586	1ihw;1ihv
P04587	3oxc;2bpz;6b3c;2nnp;1g2k;1fff;2aoj;3cyw;6b36;3bgc;2bpv;3d20;2f81;1fej;1fgc;1hpv;1ff0;2r3w;3bc4;2nnk;2avq;2f80;1fg6;3bgb;2aoe;2aof;2avm;2avv;1k1u;1bdq;1tcx;1q9p;6b38;3d1z;1bdl;2bpx;1wje;1fg8;2r38;2aoc;3d1x;2nmy;2f8g;6b3g;3cyx;2aoi;1hvj;1hvs;2bpy;3b7v;6b3h;2aog;1k2b;1k2c;2z54;2bpw;1wjf;1ffi;2r3t;2aod;1k1t;3b80;6b3f;2avs;3d1y;2nmz;2aoh;2avo;1bdr
P04588	1hhj;3ixo
P04590	4dgb;2wlv;8fzc;7tv2
P04591	5nmh;9e39;6y9w;6y9v;5nmk;9d6c;6n3u;5ind;4obg;7ash;1tsu;5nmf;6zdj;5nme;7wj2;9dwd;5nmg;6n3j;6y9x;6y9z;9cwv;6ecn;7asl;1tsq;5inc;5fjb;6y9y;5i1r;4qj2
P04601	8gvi;8gvb;3rl2;5hgh;4nee;4wu7;5hgb;5hga;8gvg;5hgd;7k80;7k81;7yg3;4wu5
P04602	1qvo
P04603	3wl9;3w0w
P04608	5v61;3mi9;6cyt;4or5;3mia;6mcf;6mce
P04610	1jfw;1jm4
P04613	1k5k
P04616	5dhy;7u0f;5dhv;5dhz;6bsy;6cf2;5dhx;2x7l
P04618	7jya;6hip
P04624	1jau;8eli;1jav
P04625	3uvv
P04626	8q6j;8jyq;3h3b;1mfg;3mzw;7pcd;1s78;4nnd;7jxh;8hgp;8u4l;8ffj;9t3s;2jwa;1mw4;6lbx;3rcd;6j71;1n8z;8pwh;8hgo;8vqe;2a91;1qr1;4gfu;3wsq;6oge;9mtx;8u8x;9l1s;9mte;5o4g;2l4k;9qbh;3wlw;2ks1;7mn5;9qbf;9iut;5tqs;6att;6bgt;5ob4;8vqd;3be1;9t3r;3n85;7mn8;5k33;7qvk;4hrn;1mfl;7mn6;8u4k;8vb5;3pp0;2n2a;5my6;4hrl;4hrm;8jyr;5kwg;9qbg
P04629	7xbi;8ytd;5jfx;5kmm;1www;6pma;6dkb;6d1z;5kmi;1shc;9vfl;6pl2;5kmk;5kml;5h3q;7vko;6d20;8j63;6pl4;6nss;5kmn;4yps;4pmp;4pms;4crp;1he7;8j5x;2n90;6nsp;6pme;6dki;6iqn;7xaf;6pmb;4pmt;2ifg;5jfw;6dkg;5jfv;1wwa;6dkw;5wr7;5kmj;4f0i;7vkm;9dai;4gt5;6pl3;6pmc;7vkn;6j5l;6d22;8j5w;8yte;5kmo;4aoj;4yne;6pl1;6d1y;6npt;4pmm;8j61;7n3t;5kvt;5i8a;5jfs
P04631	2k7o;1sym;1qlk;1xyd;1dt7;1mwn;1b4c
P04632	4wq3;4phm;1kfx;4phk;1kfu;6qlb;4wq2;5d69;4phj
P04635	2hih
P04637	9r04;5hp0;5hpd;6vrn;2foj;9sps;9s9q;9s9n;9br4;1aie;4ibw;3lw1;3d09;4fz3;4agm;4agn;2h4h;2j1z;2bin;3dac;6ggf;9s9o;8xcb;2xwr;2j10;1sak;6vrm;7bwn;7b4g;6rl3;6shz;6rws;6ggb;8hln;4mzi;8dc8;7xzz;2x0w;1jsp;9szz;6s40;6ff9;5mcu;5mcv;2z5s;3kmd;3oq5;2ata;2h2d;2j1y;2biq;1sal;7eeu;6vqo;4ibv;2l14;2foo;1ycr;2ly4;2b3g;2bip;6rwh;8uqr;6rkk;6s9q;3tg5;8qwp;2v5w;4ibq;8a32;7b49;2mwp;2h1l;9spp;9g6u;1olg;6rk8;6rm5;6rwi;4ijt;2x0v;9s9l;5a7b;4iby;4ibz;1hs5;6s3c;7b4f;6xre;6rl4;5aol;4rp7;4ago;2ac0;7dhz;1ycs;1ma3;8qwk;5mf7;5o1i;4lo9;4ibt;8dc4;7v97;7b4c;7rm4;6si0;9br3;8qwm;8qwo;8gcr;9r2p;2vuk;2gs0;2h59;5o1h;5g4o;3ts8;3igk;2j1w;1olh;6znc;3dab;6sl6;6rkm;5moc;4rp6;9cht;8qwl;3sak;6si3;4agp;8oxm;8e7b;2mwy;2mzd;9s9m;6rjz;5ab9;3q06;3d07;6r5l;5lap;2ydr;9spr;1a1u;8rba;5ecg;3q05;3d0a;1c26;7b4b;7b4d;6w51;6lhd;4x34;8oxo;8dc7;7eax;2x0u;9suk;9spm;9g5h;5o1b;5g4n;4kvp;5aoj;4hfz;8xp5;8qwn;5ol0;8hll;8hlm;4mzr;2mwo;1xqh;2ady;8rbc;1dt7;6s39;6rm7;5mcw;5o1a;5aom;2ocj;2j20;7b4a;7b4e;6v4f;6si1;8dc6;8cg7;7nmi;5xzc;5o1c;5o1e;5o1f;5g4m;2bio;2h4f;7b46;7dvd;6rki;6rx2;6ggd;5aoi;4agq;8r1g;8a92;2pcx;1kzy;5aba;4xr8;4buz;4hje;2wgx;2j0z;6si2;6si4;6gge;5mhc;5hou;9c5s;8a31;7el4;2ruk;9spq;9s9r;6fj5;5lgy;5mct;3d06;4qo1;3igl;2ybg;1saf;7b47;7b48;7b4h;6slv;6siq;6gga;5un8;5aok;8e7a;1pes;1pet;9r2m;9s9p;8rbb;8wd2;8r1f;6rz3;4bv2;3d05;2fej;2mej;2ahi;2h4j;2j21;2bim;1uol;6sio;6rwu;4agl;8xce;3zme;7xzx;6vr5;7eds;1tsr;9spo;9fzb;5mg7;4lof;2j1x;2k8f;1sae;1tup;1gzh;7b4n;6sip;6t58;1yc5;1h26;5o1g;4zzj;4loe;4ibu;3q01;3kz8;3d08;2j11;2h2f;6v4h;6sin;6ggc;5bua;3pdh;8j8n;9r2q;8rci;7ygi;6rl6;6vr1;7dhy;2z5t;1ycq;9spn;9g6t;5o1d;4ibs
P04642	4aje;4aji;4aj4;4ajn;5es3;4ajh;4al4;4ajj;4aj1;4aj2;4ajo;4ajk;4ajl
P04644	7qgg
P04646	7qgg
P04650	6m62;5it7;4v5z;4u51;8xu8;8cgn;7v08;8p4v;7zuw;8cg8;6t7t;6gqv;4v6i;4u3n;7ohq;7nrc;8t3e;6qtz;8y0u;8t2z;8ceh;8agx;5i4l;5juo;6xiq;5apo;4u53;4u4z;4u56;6z6k;8cmj;7zux;8ewc;9r9o;8z70;6ylx;6r84;7oh3;6woo;5lyb;8zhb;5gak;7ug6;8ut0;8agz;8zgy;8ylr;6snt;4u4o;7of1;6i7o;5t6r;5dgf;4v8t;7uqb;8agu;6tnu;3j6x;3j77;6ri5;7nrd;4u4u;8evt;8agt;2wwb;9ofv;8zh3;8p85;6r86;5jcs;7mpi;7too;6s47;4u4q;6ylg;6oig;8bip;8evr;8t2y;8t3a;4v8y;4u3m;8pnn;8cf5;7n8b;6t7i;6tb3;8k2d;8t30;8t3c;8ccs;6ylh;6yly;5dgv;4v8z;4u6f;3j78;7mpj;5obm;5apn;9f9s;8k82;3j6y;3jct;7uoo;7zs5;8agw;8yld;9f58;5tbw;4v7r;2wwa;6qik;6gqb;5mei;5dge;5fci;8aaf;6rzz;5m1j;6xir;6sv4;8t3d;5ndg;5dc3;8cdl;8bjq;8p9a;7azy;7zpq;9r9p;5jut;4v88;8evq;8civ;7uqz;9pn5;5ndw;5juu;4v91;8cku;8agv;7zw0;5jus;5h4p;4u4r;4u55;7zrs;8ewb;6n8k;6n8l;6n8m;6n8n;8uti;8t3b;7top;6s05;5tgm;5mc6;8z71;6z6j;8cdr;8eub;8hfr;8zgr;6r87;6t83;6n8j;5tga;4u50;4u52;7b7d;6n8o;6gq1;5t62;5fcj;4u4y;8t3f;6qt0;5ndv;8zhc;8evp;8bn3;8bqx;8bqd;2ww9;6q8y;8evs;8p8u;7z34;9dov;9dp7;6ft6;5on6;5jup;5dat;4v7f;4u4n;6t4q;6hhq;6hd7;4u3u;8t2x
P04651	6p57
P04663	6y5l
P04664	1dlh;2g9h
P04666	7s8q
P04685	1fh1
P04688	6s8m;5mjs
P04690	6u42;8glv;7ju4;7sqc;7kzm;7n6g;7kzo;6ve7;7n61;7som
P04692	2g9j;1kql;1mv4;2b9c;1tmz
P04693	3fsl;3tat
P04695	1tnd;6oy9;1lvz;1tag;1fqk;3dqb;4a4m;3v00;6oya;7jsn;4j4q;1aqg;1fqj;1tad;4bey;2x72;1got;3pqr
P04696	6ph7;6pgs
P04711	5vyj;6u2t;1jqo;6mgi;6v3o
P04716	1rbl;1rsc;9fwv
P04717	4mkv;4hhh
P04718	1rus;5hqm;1rba;2rus;5rub;9rub
P04722	4ozf;4ozh;4ozg;4ozi
P04734	1qjl;1qjk
P04737	5lfb;9moq;5ler
P04739	8tuw;9ewx;1pao;8tum;1pan
P04746	1u30;3cpu;5u3a;3old;4x9y;1bsi;2qmk;3baw;1u2y;2qv4;5kez;1cpu;5td4;1xd0;5va9;4gqr;3bax;1xh0;1xcx;1xh1;6obx;5emy;1xd1;1kbk;4gqq;6z8l;6ocn;4w93;3bai;1xh2;1kgu;1kb3;3baj;1u33;3olg;1kgw;1kgx;1xcw;3ij9;1xgz;1kbb;5e0f;3ole;3ij8;3bak;2cpu;1b2y;3ij7;3oli;3bay;1hny
P04756	5hbv;2qc1
P04758	9avu;9awj;9avv;9awk
P04759	9awj;9avv;9avu;9awk
P04766	1z9b;2lkc;2lkd;2nbg;1d1n
P04775	1byy;2kxw;2m5e
P04776	1fxz;1ucx;1ud1
P04778	9le7;9le8;9i4t;7oui;5mdx
P04786	1ois
P04789	1mss;1iig;2j24;2ven;4jeq;2x1r;1tti;5i3h;2wsq;3q37;1tpe;2v2d;2v2h;2y70;1tpd;1trd;5i3j;2x16;5tim;4pc8;1kv5;2x1u;5i3i;2v2c;2vem;2x2g;2v5l;3tim;2v0t;1dkw;5i3k;4pcf;2x1t;2wsr;1tsi;4tim;1ttj;1iih;1tpf;1tri;1ag1;2x1s;2y6z;5i3f;2vei;2vek;6tim;5i3g;2j27;1ml1;2vel
P04792	2n3j;6gjh;3q9p;3q9q;6dv5;4mjh
P04798	6udm;6udl;6o5y;4i8v;6dwn;6dwm
P04802	1eov;1asz;1asy
P04805	8i9i
P04806	3b8a;1hkg
P04807	5uwt;2yhx;1ig8
P04816	1usi;1usk;8q52;2lbp;1usg
P04818	6oju;3ehi;4up1;4o1x;4fgt;5x4w;3ejl;1ju6;4g6w;4g2o;1ypv;6pf6;3n5g;3ef9;3edw;5x5q;6pf3;6pf5;3eaw;2onb;4jef;5x69;5wrn;4gd7;3gg5;3h9k;6ojv;6zxo;3ebu;1hvy;5x5a;5x5d;5x66;5x67;6r2e;1hw3;1juj;5hs3;5x4y;6pf4;4e28;1hzw;4h1i;2rd8;3hb8;1hw4;6qxg;6qxh;6qyq;4kpw;4gyh;1i00;3gh0;3ob7;3n5e;3ed7;3gh2;3egy;2rda;5x4x;4o1u
P04819	2od8
P04824	3lrm;3lrl;3lrk
P04825	4q4e;4xn7;4xmu;4xn4;4xnb;5yqb;4xnd;4xo4;5mfr;4xo5;5mft;3b2p;2dqm;6g8b;2dq6;4xmw;4xn8;3b37;3puu;5yq2;4xn2;3qjx;4xn9;4xna;3b2x;4q4i;5yo1;4xmz;4xmt;4xn1;2zxg;2hpt;5yq1;2hpo;4xn5;4xo3;3ked;3b3b;5mfs;4xmv;4xmx;3b34
P04830	6l2h;4jcl;6aij;3wms
P04839	7u8g;8wej;8gz3;8x2l;8kei;3a1f
P04840	9jvq
P04842	5i68
P04843	6s7t;6s7o;9n9j;9ygy;8b6l;8pn9
P04844	8pn9;6s7o;6s7t;9n9j;8b6l;9ygy
P04849	2b9b;4wsg;4gip;1svf
P04850	4jf7;1z4w;3tsi;1z4z;1z4x;1z4y;1z4v;1z50
P04857	1fzk;1qlf;1fzo;1kpv;2vab
P04858	1ce6
P04859	1r4g;1ezj
P04862	3wwt;6kp3
P04866	5a79;5a7a
P04871	2wux;3jw6;2wuy
P04873	4bhh;4bgp
P04880	3hhw;2fqm;3hhz
P04891	1a4t
P04893	3p9a
P04896	1azs;6nbi;7jjo;7pde;9ije;3c14;3sn6;3g82;7x8r;7d68;1tl7;8wa3;7dty;8x9s;9ijd;1cs4;6r4o;7fin;2gvz;7eq1;7wbj;1cju;8itl;3c15;7fim;7fiy;8bv5;8dcs;3c16;1cul;1cjv;6r3q;1cjt;6nbh;7vqx;1azt;9l8l;8x9t;2gvd;6r4p;8dcr;1u0h;9l84;3maa;8itm;7s0g;8buz;7pdf;7x8s;1cjk;6nbf
P04899	7wvw;7f8v;8zsv;8kgg;8thl;6d9h;8zsp;8zss;8w89;8y45;7yj4;8zsj;7ld4;8k6n;7yk6;7wvx;7wvy;7ld3;9dqj;9kfk;7wvv;9k6l;9kfj;8zh8;7wv9;8w8a;8wpu;9kfi;8k6m;8k6o;7xxi;8zbw;8thk;7yk7
P04903	5lcz;5ld0
P04905	6gsx;3gst;3fyg;6gst;5gst;5fwg;1gsb;6gsw;6gsu;6gsv;1gsc;2gst;4gst;6gsy;1mtc
P04908	8sn9;6l4a;6hkt;5cpi;9be5;9j8o;8jnf;8smw;5b0z;6yov;8u9s;8iej;8h0v;8hai;3a6n;9yle;9j0n;9gw2;6j4w;5z23;5gxq;5b32;3w96;6t93;8sn5;8xbt;7ccr;5av8;5av9;9r2q;8w9d;8txv;8smx;7wbx;7va4;7xx6;7pet;7peu;7pey;7xct;3an2;9r2p;9j8n;9zen;8jl9;5b2i;5gtc;3ayw;6r8z;7d20;7bxt;7cow;6inq;6ir9;7pf5;7pff;5jrg;3azm;5av6;4z5t;4ym5;8jh2;6ipu;6ler;6aee;3w98;3x1v;7pf4;7pfd;7xd1;8sn2;8sn7;7k63;6t79;6t7a;6r93;6a5l;5xf4;8ott;8x7j;8ubl;7w9v;7xse;9wmw;9rn2;8y3c;6m44;6e0c;5y0c;3azh;6a5o;9gev;8vfy;8vg1;8txw;8jnd;8g57;8ubj;7zi4;8han;7v9c;7y00;8ihl;7scy;7v90;3azk;3azl;9xsf;9rze;9rmc;9zeo;9gfm;9ipu;8zjt;7pf6;6a5u;9j8w;8vfz;8w9f;8wg5;8x7i;8ubk;7wbw;7xx5;7lya;9r2m;9igw;9kqo;8jld;6v2k;6m3v;3wtp;3aze;2cv5;7k5x;6o1d;6iq4;6hts;6la8;6a5r;4ym6;9gel;9gfb;8txx;7c0m;8sn8;6t7b;6t7d;9be6;8x7k;8ke0;8grm;3azj;9igx;9rzc;9j0o;9ym8;8jh3;8jla;6t90;6j4y;6j51;8uq8;8uqa;6buz;8q3x;8osk;9ge5;8vlr;7xti;8kd1;8grq;8hqy;7v9k;7pfx;7pex;5xf5;5cpj;8y3d;8rgm;8jcc;8jcd;8he5;8q36;7wbv;7pfw;2rvq;8jh4;6j50;5vey;7xt7;8hr1;8sn6;9jc6;9yl3;8ybk;5y0d;5ay8;5b31;8sn3;7by0;6l9z;6ke9;7y7i;8hah;7xzy;7xsx;7xsz;7pf2;7pfa;7xvm;9s0u;8yti;9r04;8vg0;8i17;6jxd;6kxv;6j4z;5zbx;3w99;3afa;8hag;7xzz;7pft;7pfu;8yv8;7pev;7pew;7pfe;7xvl;7vz4;7nl0;8smy;8sn0;8uqb;8uqe;8q3m;8kcy;8hal;9l1x;6v92;6r92;7k60;8uqc;8uqd;8uq9;6t7c;6la2;5avb;8hak;8ham;7xzx;7vcl;7pf3;7xd0;8sna;9wms;9wmu;9wmv;9rl4;9rn1;9l22;9u5u;9ymf;8u13;8u14;8zjr;8ybj;8jhg;8osj;8ots;5b40;3av2;6le9;6e0p;5avc;7v96;8xbu;7d1z;9s3g;8xrj;8y3e;8w9e;8vfx;8kb5;3av1;6r8y;6jr0;6jr1;5gse;7xcr;8sn4;7ccq;6usj;8jbx;8upf;8haj;7v9j;6l49;6j4x;5b24;3azn;3x1s;7pez;7pf0;8sn1;7v99;7bwd;6r94;6lab;5av5;8yny;5b0y;7pfv;9uz7;6r90;6r91;6acl;3w97;3azi;8h0w;7lyb;7scz;7pfc;6l9h;6la9;5xf3;9wmt;9j8m;9yly;8osl;9gf6;3wkj;8xvs;8y3f;8q3e;7v9s;7lyc;8jlb;5b2j;5cpk;3azf;3azg;7dbp;8smz;7k5y;7k61;5x7x;6a5p;6a5t;9j0p;8vg2;8jne;7xtd;8ieg
P04909	9lrv;9lrw
P04910	7p0l;7ybf
P04911	9ob1;9c9t;9cb7;8qyv;5bt1;7dlx;1id3;8qz0;8ow1;9fbw;4wnn;3t7k;9cau;7ssa;6gej;8xgc;6qld;8ow0;7k78;9c9g;9b1e;6gen;7on1;7k7g;9c9s
P04912	9b3i;7e9c;8f0x;8qkv;8qku;4jjn;4kud;7e9f;9b31;8f1e;9b3f
P04913	7ybf;9lrv;9lrw
P04918	6py0;4q5g;6pxz
P04920	8gva;8gv8;8jni;8gve;8gvh;8gv9;8gvc;8gvf;8jnj
P04921	2ejy
P04925	2l39;2l40;2l1d;2l1e;4j8r;2kfm;1y15;2l1h;2l1k;1y16;3nvh;1ag2;8dja;2ku6;8efu;4ma7;3nvg;2kfo;6aq7;7rvd;1xyx;6hhd;2ku5;8a00;7qig;4ma8;7td6;2k5o;6her;4h88
P04933	1cej;2mue;2flg;2mu7
P04936	2hrv;1cqq;9g0b;1v9u;5fx5;6ffn;3dpr;7ara;3tn9;1fpn;5fx6;3vdd;4l3b;6ffs;1a3r;2xya;8ay4;8ay5
P04949	8cxm
P04951	3k8e;3k8d;1vh1
P04957	3o5s
P04958	1dfq;1a8d;1yyn;7bxx;7oh1;1d0h;7by4;1af9;3hmy;4j1l;5n0c;5n0b;1fv2;1diw;1yvg;1fv3;1dll;9fyr;1yxw;7oh0;3hn1;9fyq;1z7h;7by5
P04960	1pcl
P04963	2cix;7rst;2j19;1cpo;2cj0;2cpo;2ciy;2civ;2j18;2cj2;2j5m;2ciz;2ciw;2cj1
P04964	3dap;1f06;5loa;2dap;1dap;5loc
P04966	5zji
P04968	9d2q;9d2s;1tdj;8zkv;9jfi;9d2r
P04969	7qgu;9fy2;8qpp;8buu;8ced;7qv2;8qcq;5njt;6htq;8cee;8cec;6ha1;8r55;7qh4;7o5b;9fy1;7qv1;8cdv;9fy3;8cdu;6ha8;7qv3;3j9w
P04972	1fqj;8ugs;10oz;8ufi;8ugb;2ju4;3jab;9cxj;6mzb;3jbq;7jsn;9cxi;9cxh;8ulg;9ohm
P04973	1xi4;3iyv
P04975	3lvh;6wcj;3lvg
P04977	7skk;9mr7;1bcp;1prt;7sky;7u6z;7sne;7ski;1pto;6ro0
P04978	1bcp;1prt;6ro0;9mr7;1pto
P04979	9e3h;1prt;9e3k;9mr7;1pto;6ro0;9e3j;1bcp;9e3l
P04981	9e3l;6ro0;1prt;1bcp;9mr7;9e3k;9e3j;1pto;9e3h
P04993	5mbv;6sjg;8b1t;7mr0;6t2u;6sje;8b1r;7mr4;6sjf;6sjb;7mr2;7mr1;7mr3;5ld2;1w36;6t2v;3k70;8b1u
P04994	8txr
P04995	4js5;3c95;4js4;1fxx;4jrp;3hp9;3hl8;4hcb;4hcc;3c94;4jrq;2qxf
P05000	3se4
P05019	1bqt;1tgr;7s0q;4xss;2dsr;1h59;1gzz;1h02;1gzy;7yrr;3lri;8eyr;8x2m;2dsp;8xkm;8xkr;8xk1;8xjs;5u8q;2dsq;8x06;7wrq;1imx;2gf1;6ff3;6rva;3gf1;1pmx;1wqj;1b9g;1gzr;6pyh
P05020	2z2a;6hg1;2eg7;2eg6;2z25;2z24;2z26;2z2b;1j79;2z28;1xge;2e25;2eg8;2z29;2z27
P05023	9kcm;9kcj;9kci;24rc;9wak;9kcg;9kcr;7e20;9kck;9waj;7e21;9kcl;7e1z
P05024	7ddf;8jbm;7d91;7wyt;4hqj;3wgu;8jbl;7z04;4res;7wys;4hyt;7ddi;7ddk;3kdp;7d93;3b8e;7d94;7ddl;8jbk;7qtv;7ddh;7yzr;7d92;3wgv;3n23;4ret
P05026	8zyj;9waj;8d3w;8d3y;9wak;7e1z;8d3x;8d3v;7e20;8d3u;7e21
P05027	7ddi;3b8e;3n23;4ret;7qtv;7d93;7wyt;7ddf;7ddk;7z04;3wgv;7d94;8jbk;8jbm;7d91;7yzr;3wgu;4hyt;3kdp;7ddl;9vj2;7wys;8jbl;7ddh;7d92;4hqj;4res
P05030	9ugc;7vh6;9ugb;7vh5
P05031	3k40
P05041	8rp6;1k0e;8rp1;8rp0;8rp2;1k0g
P05042	8sbs;6os7;1fuo;6nz9;1fuq;6nzc;6nzb;1kq7;1fup;6nza;6p3c;1yfe;1fur;2fus
P05044	1gjy
P05045	1lu2;1lu1;1bjq
P05046	1sbf;1sbd;1g9f;1sbe;4d69;2sba
P05050	3i3q;3o1s;4zhn;3khc;6y0q;2fdi;2fd8;3khb;2fdk;4nih;3o1p;2fdf;3o1r;3i2o;3o1v;3o1o;4jht;6ypv;2fdh;3t3y;3t4v;3o1u;3bi3;3i3m;4rfr;2fdg;3t4h;4nid;4nii;3i49;3o1m;3bie;3bkz;2fdj;7nro;4nig;3o1t
P05055	3cdi;9qh0;3cdj;8vak;7ogk;7ogl;1sro;7ogm;8vah;6qh2;3h1c
P05057	6nmm;6un8;6p01;6p06;6p04;6nmn;6nmk;1kny;6nml;1kan;6p08;6nlt
P05059	1n2y
P05062	1xdl;1qo5;8d44;1xdm
